Priority,Can be drawn,Name,Biome Type,Chance To Get Lost,Difficult,Flavor Text,Ability,Secret Effect,On Reveal,On Reveal Text,On Visit
1,Yes,Grassland,Fields,10%,1,Like a lawn the runs to the horizon.,Insert any tile to upgrade to Grassland Highway.,,,,
2,Yes,Grassland Highway,Fields,0%,1,Printer drones have spread this spindle of mountaintop plasphalt all the way to the horizon.,,,,,
,Yes,Temple of Saint Bread,Fields,,4,"After a cup of matcha latte, everything in life looks a little better.",Reveals your card to be a positive effect,The revealed random card is on the upper end of the spectrum of effects. It is revealed to be better than the average effect of that biome.,,,
1,Yes,Bandit Copse,Fields,,-1,Insert any tile to not lose a tile when visiting. Insert a Woods tile to upgrade to a Forest.,,,Lose a random tile.,,
,Yes,Winding Tunnel,Fields,0%,2,Where does this go?,Skip the effects of the next tile.,None,,,
,Yes,Landmark,Fields,,3,Did the ancient world use this spire as a point of reference? No other purpose is apparent.,,,Reduce the chance to get lost on all adjacent tiles by 20%,,
2,Yes,Lodestone Outcropping,Fields,0%,2,"The knowledge required to make compasses was never lost to us, but on our tiny mountaintop, there was no need for them.",,,,,Explorers visiting here reduce their chance to get lost by 5%
,Yes,Abandoned Wagon,Fields,0%,2,Deep wagon ruts make it impossible to lose the way.,,,Reveal Wagon Caravan within 2 tiles,,
,No,Wagon Caravan,Fields,0%,0,"These nomads have seen a hundred lands, but when they hear about the mountaintop, they promise to visit soon.","Insert a tile to deck 4 settlements, 4 fields, 4 forests, and 1 swamp. ",,,,
,Yes,Croplands,Fields,,,,,,,,
1,No,Unpassable,Mountaintop,,,Too steep to climb.,Impassable,,,,
1,No,Videonarium,Mountaintop,,,A crowd has gathered to complete the 9853rd Annual Series Marathon of Friends,insert forest to upgrade to Traveler's Forum.,,,,
1,No,Traveler's Forum,Mountaintop,,,"Lectures, memoirs, and scientific illustrations inspire the next generation of explorer dreams.",Insert Wasteland to upgrade to World Academy.,,Plus 1 Explorer,,
,No,World Academy,Mountaintop,,,"Shocked by the dangers of a chaotic world, we systemitized prepartions for all explorers.",,,Plus 1 Explorer,,
1,No,Database Protein Printer,Mountaintop,,,Today's Menu: Breakfast Bacon flavored protein porridge. Lunch Special! Chicken breast protein porridge. Dinner: Oatsimilie Protein Porridge.,Insert Fields to upgrade to Hydroponic Protein Printer.,,,,
,No,Hydroponic Protein Printer,Mountaintop,,,Today's Menu: Breakfast: Whole Grain Chia Oats. Lunch Special! Bacon Protein BLT. Dinner: Chicken Salad With Celery.,Insert Swamp to upgrade to Gastroprint Farm,,Plus 1 Journey Plan Slots,,
,No,Gastroprint Farm,Mountaintop,,,"Today's Menu: Breakfast Savory Cinnamon Oat Crepes, Lunch Special! Five Star Chicken Tikka Masala, Dinner: Maple Glazed Pancetta Charcuterie",,,Plus 1 Journey Plan Slots,,
1,No,The Great Gate,Mountaintop,,,"Sealed against the cataclysm for 10,000 years.",Impassable. Insert forest to upgrade to Explorer's Gate.,,,,
1,No,Explorer's Gate,Mountaintop,,,The door to the impossible.,,,,,
2,No,Purification Plant Maintenance Slough,Mountaintop,,,"A perfect water recycler, in 10,000 years it has not lost a drop.",Impassable. Insert Swamp to upgrade to The Great River Of Beyond,,,,
2,No,The Great River Of Beyond,Mountaintop,,,"Now we take in sludge, and give the world a crystal clear river.",,,Plus 1 Explorer,,
,No,Plasticom,Mountaintop,,,"The immortal intelligent computer that has kept Stratohaven running for 10,000 years.",Insert a Forest to upgrade to Global Datamentarian.,,,,
,No,Global Datamentarian,Mountaintop,,,The Plasticom voraciously records all the updated information we bring it from outside Stratohaven.,,,Plus 1 Hand Size,,
,No,Interwoven Intellect,Mountaintop,,,,,,Plus 1 Hand Size,,
,No,Airlock,Mountaintop,,,"An airlock with simple controls: two buttons labeled ""Depart"" and ""Seal"". Until recently, it has never been used.",,,,,
,No,Complex Foundation,Mountaintop,0%,,A complex foundation to some kind of structure. The Plasticom has instructed us not to disturb it.,Insert Stratolink to upgrade.,,,,
,Yes,Stratolink,Mountaintop,0%,,"An optical communication beam emitter, capable of transmitting terrabytes of data thousands of miles along line of sight in an instant.",Insert a tile to open a Stratohaven.,Doesn't actually do anything aside from maybe keeping track of how many you've done.,Opens Beat The Game dialog,,
1,Yes,Village,Settlement,4%,1,"Somehow these people have found a way to survive in 10,000 years of cataclysm.",,,,,
1,Yes,Friendly Tavern,Settlement,2%,3,All who are weary are welcome to rest here and hear the tales of fellow travelers.,Insert a card to deck 1 card,,,,
,Yes,Sprawling Hive City,Settlement,15%,3,,insert field to place an adjacent settlement tile.,,,,
2,Yes,Honored Court,Settlement,0%,5,"Uh, you know what. We'll take you there ourselves.",Knights escort your explorer safely to the next waypoint. Skip effects on the way.,,,,
,Yes,Quaint Village,Settlement,,4,This tranquil collection of cottages must conceal something more sinister.,Insert a tile to investigate!,Your explorer is still there. Investigate ability upgrades to Wedding Festival,Kill the explorer,The Explorer has gone missing!,
,No,Wedding Festival,Settlement,0%,0,The original Explorer has found love and settled with a local!,"Insert a field to attend, deck a field. Insert a forest to attend, deck a forest. Insert a swamp to attend, deck a swamp.",,Place the tiles that were lost,,A wedding guest loved your toast so much they joined! Plus 1 explorer!
,No,Endless Festival,Settlement,0%,0,The original Explorer has found love and settled with a local!,"Insert a field to attend, deck a field. Insert a forest to attend, deck a forest. Insert a swamp to attend, deck a swamp.",,,,
,Yes,Lunar Vantage Array,Settlement,4%,5,"A 10,000 year old communication array is ready to recieve one last update from the Lunar Vantage Point Base. But what is it pointed at?","Insert Swamp to reduce the chance of being lost in all placed tiles by 4%, upgrade to Silent Array.",,,,
,No,Silent Array,Settlement,0%,0,A communcations array listening for a message that will never arrive. Scattered around the base of the array are images of the area from impossibly high above.,,,,,
,Yes,Lost Child,Settlement,,4,,"Insert a tile to check on the child, deck a card. (maybe make 5 of these, one for each type so the deck is the same biome you spent)",,Place A Worried Mother 3 tiles away,,
,No,A Worried Mother,Settlement,,0,I've looked everywhere!,,,,,"If this Explorer has visited Lost Child, upgrade to Happy Reunion"
,No,Happy Reunion,Settlement,0%,0,,,,"Deck 4 Settlements, 8 fields, 1 forest",,
1,Yes,Wetland,Swamp,20%,-1,"Not for us, but the birds seem to enjoy it.",,,,,
,Yes,Crow Throne,Swamp,1%,-4,On this throne sits a pessimistic oracle.,Reveals a random card in the Journey Plan.,The revealed random card is on the low end of the spectrum of effects. It is revealed to be worse than the average effect of that biome.,,,
,Yes,Predatory Distillery,Swamp,0%,-3,Well… at least it was a good time.,,Teleport the explorer to a random explored tile within 5 tiles.,,,Explorer gets drunk and awakens… somewhere.
,Yes,Winewater Spring,Swamp,,1,Unbelievable stories of a land long lost are told here. Something about these myths makes you believe they were once real.,,"None. This is a reference to the game Where The Water Tastes Like Wine, a strong influence on this game.",Deck 2 cards,,
,Yes,Froggie Bog Pirates,Swamp,,-2,A twangy dirge drifts through the miasma acompanied by a croaking chrous that reveals a submerged stash.,Impassable.,,"Explorer is turned back, reveal Submerged Stash 2 hexes away.",,
,No,Submerged Stash,Swamp,,3,"The eclectic riches we found here may lead us back to their owners, but we should not return here once the theives discover what is missing.",Impassable. Insert Wood or Field to visit and deck 6 settlements. Upgrade to Sunken Stash.,,,,
,No,Sunken Stash,Swamp,,0,,Impassable.,,,,
,Yes,Frozen Marsh,Swamp,,,,,,,,
,Yes,Soggy Scrubland,Swamp,,,,,,,,
,Yes,Quicksand,Swamp,,-4,,"Insert a tile, 50% chance for all Explorers to move to an adjacent tile.",,,,Explorers on this tile cannot leave.
,Yes,Contagious Mangrove,Swamp,,-2,,,,,,30% chance to replace a tile in the Journey Plan with a Swamp
,Yes,Riparian Glade,Swamp,,-1,Impassable. Insert a forest to pass and deck a forest.,,,,,
,Yes,Delta,Swamp,,-3,,,,Place 2 adjacent Speading Delta,,Move to an adjacent Spreading Delta
,No,Spreading Delta,Swamp,,0,,,,"If next to a Spreading Delta, place 2 adjacent Delta Edges",,Move to an adjacent Delta Edge
,No,Delta Edge,Swamp,,0,,,,,,
,Yes,Mudflat,Swamp,,,,,,,,
,Yes,Freshwater Bog,Swamp,,,,,,,,
1,Yes,Barren Earth,Wasteland,30%,-2,The ashy regolith of this place offers no comfort.,,,,,
,Yes,Giant Spider Lair,Wasteland,,-5,"insert wasteland, 30% chance to pass, insert fields 50% chance to pass, insert settlement for 90% chance to pass.",,,,,
,Yes,Triple Vortex,Wasteland,100%,-4,I’ve a feeling we’re not in Kansas anymore.,,Your explorer gets lost 100% of the time.,,,
,Yes,Smokey Canyon,Wasteland,30%,-2,*cough* *cough* *hack* *snuff* *gasp*,,,Places Bonefire 3 hexes away.,,
,No,Bonefire,Wasteland,5%,1,Exhausted refugees huddle around a mound of burning bones and warn each other about the dangers they've encountered.,Insert one Wood to deck 5 cards and 7 Wastelands,,,,
,Yes,Graveyard Crest,Wasteland,40%,-2,Six gravestones worn smooth with time fill this small memorial. Five of them stand above gaping pits.,Insert a field to fill in the pits. Insert a wasteland to remove this desecration.,"Inserting a wasteland upgrades to Vengeful Vantage, decks 5 wastelands. Insert a field upgrades to Barren Earth.",,,
,No,Vengeful Vantage,Wasteland,50%,-3,"Whistling wails haunt this hillock, whether by wraiths or the wind.",,,Increase lost chance in all surrounding tiles 20%,,
1,Yes,Forest,Woods,10%,1,The plasticom tells us that the only biome more swarming with life than a forest is the ocean. But who among us has seen the sea?,,,,,
3,Yes,Robot Buddha,Woods,3%,1,"Nearly as old as the Stratohaven, the Robot Buddha has learned to live sustainably in chaos. It wants nothing, it needs nothing.",None,None,,,
,Yes,Merchant Shack,Woods,1%,-3,An old man lives here,Your explorer trades a tile for magic beans. Upgrade to Tattered Shack.,Lose a tile.,,,
,No,Tattered Shack,Woods,3%,0,No one lives here.,None,,,,
2,Yes,Smiling Rogue,Woods,30%,3,"A handsome rogue offers to show us the way, but the route is hard to remember.",,,Place a card on an adjacent space.,,
2,Yes,Roguish Smile,Woods,10%,-2,"A handsome rogue offers to show us the way, but there's something off about his smile.",,,"Lose a tile, ignore the next tile effect.",,
,Yes,Thorngate,Woods,,-2,Curtains of sharp briars grow so quickly they seem to move.,Insert a forest tile to clear the gateway.,Ability upgrades to Cleared Thorngate,,,
,Yes,Cleared Thorngate,Woods,,0,,,,Place adjacent Briar Passage. Place 4 adjacent Bristling Walls,,Upgrade to Thorngate
,No,Briar Passage,Woods,,0,,Insert a forest tile to clear the passageway.,Ability upgrades to Cleared Briar Passage,,,
,No,Cleared Briar Passage,Woods,,0,,,,Place adjacent Nettled Nest. Place an adjacent Bristling Wall.,,Upgrade to Briar Passage
,No,Nettled Nest,Woods,,0,,"Insert a tile to deck 1 wasteland, 6 woods, 4 Settlements, 2 Fields.",,Place 5 adjacent Bristling Walls,,
,No,Empty Nest,Woods,,0,,,,,,
,No,Bristling Wall,Woods,,0,,Impassable. Insert Wasteland to burn the thicket.,Upgrades to Wildfire,,,
,No,Wildfire,Wasteland,,0,,,,Upgrade adjacent Bristling Walls to Wildfire. Upgrade to Barren Earth,,
,Yes,Orchard,Woods,,2,,,,Deck a Settlement,,
,Yes,Toadstool Grove,Woods,7%,-1,Towering toadstools shade the moist soil.,"Insert a forest, deck 2 swamps",,,,
,Yes,Green Canopy,Woods,7%,2,,"Insert a Settlement to upgrade to Canopy Village, Insert a Field to upgrade to Megalo Fruit Farm",,,,
,No,Canopy Village,Woods,0%,0,,"Insert a forest, 50% chance to deck a Settlement, 50% chance to deck any card.",,Deck a forest,,
,No,Megalo Fruit Farm,Woods,8%,0,Each Megalofruit is as big as a man. Getting them down from the lofty canopy is a challenge.,,,Deck a forest,,Deck a forest
,Yes,Seed Vault,Settlement,5%,2,Every seed the last of its kind. We'll restore each linage to the world.,,,"Deck a forest, field, and swamp.",,
,Yes,,Woods,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,
,Yes,,,,,,,,,,